software_name,github_slug,ror_id,org_name,extraction_methods
GMD,,https://ror.org/01fbde567,Max Planck Institute of Molecular Plant Physiology; Golm; Germany,human_curated
HumanCyc: Encyclopedia of Homo sapiens Genes and Metabolism,,https://ror.org/05s570m15,Stanford Research Institute International,by_name
LONI Debabeler,,https://ror.org/046rm7j60,University of California at Los Angeles; California; USA,human_curated
frappe,,https://ror.org/03mtd9a03,Stanford University School of Medicine; California; USA,human_curated
Exonerate,,https://ror.org/05cy4wa09,Wellcome Trust Sanger Institute; Hinxton; United Kingdom,human_curated
Acquisition and Analysis for Electron Tomography,,https://ror.org/04py35477,Max Planck Institute of Biochemistry; Martinsried; Germany,by_name
GMAP,,https://ror.org/04gndp242,Genentech,by_name
NIA Array Analysis,,https://ror.org/049v75w11,National Institute on Aging,human_curated
PicTar,,https://ror.org/04p5ggc03,Max Delbruck Center for Molecular Medicine; Berlin; Germany,human_curated
CCPN Data Model,,https://ror.org/00w9zab79,Collaborative Computing Project for NMR,by_name
Brain Decoder Toolbox,,https://ror.org/01pe1d703,ATR; Kyoto; Japan,human_curated
Leginon,,https://ror.org/02dxx6824,Scripps Research Institute,human_curated
M(at)CBETH,,https://ror.org/05f950310,Catholic University of Leuven; Flemish Brabant; Belgium,by_name
OME - Open Microscopy Environment,,https://ror.org/03h2bxq36,University of Dundee; Scotland; United Kingdom,human_curated
brainmap.org,,https://ror.org/02f6dcw23,University of Texas Health Science Center at San Antonio; Texas; USA,human_curated
Free-D,,https://ror.org/05kpkpg04,INRA - French National Institute for Agricultural Research; Paris; France,by_name
RepeatScout,,https://ror.org/0168r3w48,University of California at San Diego; California; USA,by_name
GERP,,https://ror.org/00f54p054,Stanford University; Stanford; California,human_curated
BiNGO: A Biological Networks Gene Ontology tool,,https://ror.org/00cv9y106,Ghent University; Ghent; Belgium,by_name
ACT: Artemis Comparison Tool,,https://ror.org/05cy4wa09,Wellcome Trust Sanger Institute; Hinxton; United Kingdom,human_curated
InterProScan,,https://ror.org/02catss52,European Bioinformatics Institute,human_curated
tRNAscan-SE,,https://ror.org/03s65by71,University of California at Santa Cruz; California; USA,human_curated
NUTMEG,UCSFBiomagneticImagingLab/nutmeg,https://ror.org/043mz5j54,University of California at San Francisco; California; USA,by_name
GeneCruiser,,https://ror.org/05a0ya142,Broad Institute,human_curated
BAliBASE,,https://ror.org/00pg6eq24,University of Strasbourg; Strasbourg; France,by_name
An Integrated Multiple Structure Visualization and Multiple Sequence Alignment Application,,https://ror.org/04t5xt781,Northeastern University; Massachusetts; USA,human_curated
Blast2GO,,https://ror.org/05xr2yq54,Principe Felipe Research Centre; Valencia; Spain,human_curated
Classifier Visualization in R,,https://ror.org/01w19ak89,Max-Planck-Institute for Informatics; Saarbrucken; Germany,by_name
APSampler,,https://ror.org/00njsd438,Google Code,by_name
L2L Microarray Analysis Tool,,https://ror.org/00cvxb145,University of Washington; Seattle; USA,human_curated
ProbeMaker,,https://ror.org/048a87296,Uppsala University; Uppsala; Sweden,by_name
Gene Set Enrichment Analysis,,https://ror.org/05a0ya142,Broad Institute,human_curated
BioCyc,,https://ror.org/05s570m15,Stanford Research Institute International,by_name
TMA-Combiner,,https://ror.org/00f54p054,Stanford University; Stanford; California,human_curated
Kalign,,https://ror.org/02catss52,European Bioinformatics Institute,human_curated
MicroGen,,https://ror.org/01nffqt88,Polytechnic University of Milan; Milan; Italy,human_curated
Triplet-SVM,,https://ror.org/03cve4549,Tsinghua University; Beijing; China,by_name
MeGX,,https://ror.org/02385fa51,Max Planck Institute for Marine Microbiology; Bremen; Germany,human_curated
Charge Czar: Peptide charge state determination for low-resolution tandem mass spectra,,https://ror.org/00cvxb145,University of Washington; Seattle; USA,human_curated
FARMS,,https://ror.org/052r2xn60,Johannes Kepler University of Linz; Linz; Austria,human_curated
Computational Analysis of gene Family Evolution,hahnlab/CAFExp,https://ror.org/02k40bc56,Indiana University; Indiana; USA,human_curated
NeuroScope,,https://ror.org/04e8pda19,Buzsaki Lab,by_name
Short Time-series Expression Miner (STEM),,https://ror.org/05x2bcf33,Carnegie Mellon University; Pennsylvania; USA,by_name
LONI Visualization Tool,,https://ror.org/0561waf62,Laboratory of Neuro Imaging,by_name
MPScope,,https://ror.org/0168r3w48,University of California at San Diego; California; USA,by_name
GTRACT,,https://ror.org/036jqmy94,University of Iowa; Iowa; USA,human_curated
GenePattern,,https://ror.org/05a0ya142,Broad Institute,human_curated
LAMP,,https://ror.org/00jmfr291,University of Michigan; Ann Arbor; USA,by_name
PredSL,,https://ror.org/04gnjpq42,University of Athens Biophysics and Bioinformatics Laboratory,by_name
SNPSTATS,,https://ror.org/021018s57,Autonomous University of Barcelona; Barcelona; Spain,by_name
Rankprop - Protein Ranking by Network Propagation,,https://ror.org/00cvxb145,University of Washington; Seattle; USA,human_curated
ARACNE,,https://ror.org/00hj8s172,Columbia University; New York; USA,human_curated
Cell motility,,https://ror.org/00njsd438,Google Code,by_name
SABER,,https://ror.org/03mtd9a03,Stanford University School of Medicine; California; USA,human_curated
VAMP,,https://ror.org/04t0gwh46,Curie Institute; Paris; France,by_name
PSEUDO,,https://ror.org/00jmfr291,University of Michigan; Ann Arbor; USA,by_name
Alien hunter,,https://ror.org/05cy4wa09,Wellcome Trust Sanger Institute; Hinxton; United Kingdom,human_curated
Bio-Linux,,https://ror.org/02b5d8509,Natural Environment Research Council,human_curated
DISULFIND,,https://ror.org/04jr1s763,University of Florence; Florence; Italy,by_name
NCBI BLAST,,https://ror.org/02meqm098,NCBI,by_name
TranscriptionDetector,,https://ror.org/00hj8s172,Columbia University; New York; USA,human_curated
Autogrid,,https://ror.org/02dxx6824,The Scripps Research Institute Labs and Facilities,by_name
hyfi: software suite for binding site search,,https://ror.org/00cvxb145,University of Washington; Seattle; USA,human_curated
Probalign,,https://ror.org/05e74xb87,New Jersey Institute of Technology; New Jersey; USA,human_curated
MEFIT,,https://ror.org/00hx57361,Princeton University; New Jersey; USA,by_name
FunCluster,,https://ror.org/00dmms154,Cordelier Research Center,by_name
"GOLEM An interactive, graphical gene-ontology visualization, navigation, and analysis tool",,https://ror.org/00hx57361,Princeton University; New Jersey; USA,by_name
ProRata,,https://ror.org/00njsd438,Google Code,by_name
GeneTools,,https://ror.org/05xg72x27,Norwegian University of Science and Technology; Trondheim; Norway,by_name
CGAT,,https://ror.org/05q8wtt20,National Institute for Basic Biology; Okazaki; Japan,human_curated
WFU Biological Parametric Mapping Toolbox,,https://ror.org/05g5fwv52,Wake Forest School of Medicine; North Carolina; USA,by_name
PolyPhred,,https://ror.org/00cvxb145,University of Washington; Seattle; USA,human_curated
Gene Ontology For Functional Analysis (GOFFA),,https://ror.org/05jmhh281,National Center for Toxicological Research,human_curated
SubMito,,https://ror.org/03cve4549,Tsinghua University; Beijing; China,by_name
SODOCK,,https://ror.org/00se2k293,National Chiao Tung University; Hsinchu; Taiwan,by_name
Eigensoft,,https://ror.org/03wevmz92,Harvard Medical School; Massachusetts; USA,human_curated
FIVA - Functional Information Viewer and Analyzer,,https://ror.org/05kd99h55,MolGen,by_name
MAIA (Microarray Image Analysis),,https://ror.org/04t0gwh46,Curie Institute; Paris; France,by_name
AMAP,,https://ror.org/01an7q238,University of California; Berkeley; USA,by_name
PsychoPy,,https://ror.org/01ee9ar58,University of Nottingham; Nottingham; United Kingdom,human_curated
PNEUMA,,https://ror.org/05b68f622,Biomedical Simulations Resource,by_name
Similarity Ensemble Approach,,https://ror.org/043mz5j54,University of California at San Francisco; California; USA,by_name
COBALT: Constraint-based Multiple Alignment Tool,,https://ror.org/02meqm098,NCBI,by_name
GOTaxExplorer,,https://ror.org/01w19ak89,Max-Planck-Institute for Informatics; Saarbrucken; Germany,by_name
FSST - Functional Similarity Search Tool,,https://ror.org/01w19ak89,Max-Planck-Institute for Informatics; Saarbrucken; Germany,by_name
Slicer3 Module Rician noise filter,,https://ror.org/037m11k76,3D Slicer,by_name
RT Image,,https://ror.org/03mtd9a03,Stanford University School of Medicine; California; USA,human_curated
Flybrain at Stanford,,https://ror.org/00f54p054,Stanford University; Stanford; California,human_curated
HMMSeg,,https://ror.org/00cvxb145,University of Washington; Seattle; USA,human_curated
SAPRED,,https://ror.org/02v51f717,Peking University; Beijing; China,human_curated
Community Surface Dynamics Modeling System,,https://ror.org/02ttsq026,University of Colorado Boulder; Colorado; USA,human_curated
XNAT - The Extensible Neuroimaging Archive Toolkit,,https://ror.org/01yc7t268,Washington University School of Medicine in St. Louis; Missouri; USA,by_name
PeptideMapper,,https://ror.org/0495mzm65,Edwards Lab,by_name
An efficient P300-based brain-computer interface for disabled subjects,,https://ror.org/02s376052,Ecole Polytechnique Federale de Lausanne; Lausanne; Switzerland,by_name
RNAmmer,,https://ror.org/04qtj9h94,Technical University of Denmark; Lyngby; Denmark,by_name
LOMETS,,https://ror.org/00jmfr291,University of Michigan; Ann Arbor; USA,by_name
Primer3Plus,,https://ror.org/04qw24q55,Wageningen University and Research Centre; Gelderland; Netherlands,by_name
MADELINE,,https://ror.org/00jmfr291,University of Michigan; Ann Arbor; USA,by_name
Asterias,,https://ror.org/00bvhmc43,Spanish National Cancer Research Center,human_curated
SNAP - Effects of Single Amino Acid Substitutions on Protein Function,,https://ror.org/00hj8s172,Columbia University; New York; USA,human_curated
OBO-Edit,,https://ror.org/04ff87f07,Gene Ontology,by_name
MRIcron,,https://ror.org/03rtgjq94,University of South Carolina; South Carolina; USA,human_curated
