"pmid","doi","publication_year","institution_ror","au_display_name","au_orcid","author_position","au_affiliation_raw","gh_repo","software_name"
"","https://doi.org/10.21105/joss.00451",2017,NA,"Kunal Pal","https://orcid.org/0000-0002-4618-8809","middle","","https://github.com/weecology/retriever","Retriever"
"","https://doi.org/10.21105/joss.00451",2017,NA,"Kevinkumar Amipara",NA,"middle","","https://github.com/weecology/retriever","Retriever"
"","https://doi.org/10.21105/joss.00451",2017,NA,"Prabh Simran Singh Baweja",NA,"middle","","https://github.com/weecology/retriever","Retriever"
"","https://doi.org/10.21105/joss.00451",2017,NA,"Ethan White","https://orcid.org/0000-0001-6728-7745","last","","https://github.com/weecology/retriever","Retriever"
"","https://doi.org/10.21105/joss.00298",2018,NA,"Alexander Lindsay","https://orcid.org/0000-0002-6988-2123","first","","https://github.com/arfc/moltres","Moltres"
"","https://doi.org/10.21105/joss.00298",2018,NA,"Kathryn D. Huff","https://orcid.org/0000-0002-7075-6802","last","","https://github.com/arfc/moltres","Moltres"
"","https://doi.org/10.21105/joss.00061",2017,NA,"Andy Yu Zhu Yao",NA,"first","","https://github.com/andyyao95/walkr","walkr"
"","https://doi.org/10.21105/joss.00061",2017,NA,"David Kane",NA,"last","","https://github.com/andyyao95/walkr","walkr"
"","https://doi.org/10.21105/joss.00630",2018,NA,"Ryan C. Brown",NA,"first","","https://github.com/DTChuck/HSImage","HSImage"
"","https://doi.org/10.21105/joss.00630",2018,NA,"Joshua Moser",NA,"last","","https://github.com/DTChuck/HSImage","HSImage"
"","https://doi.org/10.21105/joss.00402",2017,NA,"Michael J. Kane",NA,"first","","https://github.com/ropensci/bittrex/","bittrex"
"","https://doi.org/10.21105/joss.00092",2016,NA,"Zachary M. Jones","https://orcid.org/0000-0001-6423-957X","first","","http://github.com/zmjones/edarf/","edarf"
"","https://doi.org/10.21105/joss.00092",2016,NA,"Fridolin Linder","https://orcid.org/0000-0002-0499-0676","last","","http://github.com/zmjones/edarf/","edarf"
"","https://doi.org/10.21105/joss.00639",2018,NA,"Mordechai Ben‐Ari",NA,"first","","https://github.com/motib/LearnSAT","LearnSAT"
"","https://doi.org/10.21105/joss.00050",2016,NA,"Nicholas M Van Horn",NA,"first","","https://github.com/n3mo/massmine","MassMine"
"","https://doi.org/10.21105/joss.00050",2016,NA,"A. E. Beveridge",NA,"last","","https://github.com/n3mo/massmine","MassMine"
"","https://doi.org/10.21105/joss.00606",2018,NA,"Andreas Bender","https://orcid.org/0000-0001-5628-8611","first","","https://github.com/adibender/coalitions","coalitions"
"","https://doi.org/10.21105/joss.00606",2018,NA,"Alexander Bauer","https://orcid.org/0000-0003-3495-5131","last","","https://github.com/adibender/coalitions","coalitions"
"","https://doi.org/10.21105/joss.00296",2017,NA,"Taylor Arnold","https://orcid.org/0000-0003-0576-0669","first","","https://github.com/statsmaths/kerasR","kerasR"
"","https://doi.org/10.21105/joss.00291",2017,NA,"Daniele De Vecchi","https://orcid.org/0000-0001-8600-7657","first","","https://bitbucket.org/cloopsy/android/",""
"","https://doi.org/10.21105/joss.00291",2017,NA,"Fabio Dell’Acqua","https://orcid.org/0000-0002-0044-2998","middle","","https://bitbucket.org/cloopsy/android/",""
"","https://doi.org/10.21105/joss.00291",2017,NA,"Daniel Aurelio Galeazzo",NA,"last","","https://bitbucket.org/cloopsy/android/",""
"","https://doi.org/10.21105/joss.00433",2018,NA,"Lester James V. Miranda","https://orcid.org/0000-0002-7872-6464","first","","https://github.com/ljvmiranda921/pyswarms","PySwarms"
"","https://doi.org/10.21105/joss.00265",2017,NA,"Roger Light",NA,"first","","https://github.com/eclipse/mosquitto","Mosquitto"
"","https://doi.org/10.21105/joss.00034",2016,NA,"Robert T. McGibbon",NA,"first","","https://github.com/msmbuilder/osprey","Osprey"
"","https://doi.org/10.21105/joss.00034",2016,NA,"Carlos X. Hernández",NA,"middle","","https://github.com/msmbuilder/osprey","Osprey"
"","https://doi.org/10.21105/joss.00034",2016,NA,"Matthew P. Harrigan","https://orcid.org/0000-0001-9412-0553","middle","","https://github.com/msmbuilder/osprey","Osprey"
"","https://doi.org/10.21105/joss.00034",2016,NA,"Steven Kearnes","https://orcid.org/0000-0003-4579-4388","middle","","https://github.com/msmbuilder/osprey","Osprey"
"","https://doi.org/10.21105/joss.00034",2016,NA,"Mohammad M. Sultan",NA,"middle","","https://github.com/msmbuilder/osprey","Osprey"
"","https://doi.org/10.21105/joss.00034",2016,NA,"Stanisław Jastrzębski","https://orcid.org/0000-0003-4138-1818","middle","","https://github.com/msmbuilder/osprey","Osprey"
"","https://doi.org/10.21105/joss.00034",2016,NA,"Brooke E. Husic","https://orcid.org/0000-0002-8020-3750","middle","","https://github.com/msmbuilder/osprey","Osprey"
"","https://doi.org/10.21105/joss.00034",2016,NA,"Vijay S. Pande","https://orcid.org/0000-0003-2774-1178","last","","https://github.com/msmbuilder/osprey","Osprey"
"","https://doi.org/10.21105/joss.00691",2018,NA,"Boaz Blankrot",NA,"first","","https://github.com/bblankrot/ParticleScattering.jl","ParticleScattering"
"","https://doi.org/10.21105/joss.00691",2018,NA,"Clemens Heitzinger",NA,"last","","https://github.com/bblankrot/ParticleScattering.jl","ParticleScattering"
"","https://doi.org/10.21105/joss.00457",2017,NA,"Ai Okada",NA,"first","","https://github.com/Genomon-Project/paplot/",""
"","https://doi.org/10.21105/joss.00457",2017,NA,"Kenichi Chiba","https://orcid.org/0000-0001-9439-6998","middle","","https://github.com/Genomon-Project/paplot/",""
"","https://doi.org/10.21105/joss.00457",2017,NA,"Hiroko Tanaka","https://orcid.org/0000-0001-9634-8922","middle","","https://github.com/Genomon-Project/paplot/",""
"","https://doi.org/10.21105/joss.00457",2017,NA,"Satoru Miyano",NA,"middle","","https://github.com/Genomon-Project/paplot/",""
"","https://doi.org/10.21105/joss.00457",2017,NA,"Yuichi Shiraishi","https://orcid.org/0000-0001-6144-5845","last","","https://github.com/Genomon-Project/paplot/",""
"","https://doi.org/10.21105/joss.00033",2016,NA,"Nitin Madnani",NA,"first","","https://github.com/EducationalTestingService/rsmtool","RSMTool"
"","https://doi.org/10.21105/joss.00033",2016,NA,"Anastassia Loukina","https://orcid.org/0000-0002-8213-3362","last","","https://github.com/EducationalTestingService/rsmtool","RSMTool"
"","https://doi.org/10.21105/joss.00653",2018,NA,"Michael Hucka","https://orcid.org/0000-0001-9105-5960","first","","https://github.com/casics/spiral","Spiral"
"","https://doi.org/10.21105/joss.00208",2017,NA,"Joshua Higgins","https://orcid.org/0000-0003-1551-5552","first","School of Computing and Engineering","https://github.com/hpchud/vccjs","VCC"
"","https://doi.org/10.21105/joss.00208",2017,NA,"Violeta Holmes","https://orcid.org/0000-0002-9786-4555","middle","Department of Engineering and Technology","https://github.com/hpchud/vccjs","VCC"
"","https://doi.org/10.21105/joss.00208",2017,NA,"Colin C. Venters","https://orcid.org/0000-0001-8664-9107","last","Department of Computer Science","https://github.com/hpchud/vccjs","VCC"
"","https://doi.org/10.21105/joss.00230",2017,NA,"Adam H. Sparks","https://orcid.org/0000-0002-0061-8359","first","","https://github.com/ropensci/getCRUCLdata","getCRUCLdata"
"","https://doi.org/10.21105/joss.00432",2017,NA,"Marcus Daniel Bloice","https://orcid.org/0000-0002-2468-4086","first","","https://github.com/mdbloice/Augmentor","Augmentor"
"","https://doi.org/10.21105/joss.00432",2017,NA,"Christof Stocker",NA,"middle","","https://github.com/mdbloice/Augmentor","Augmentor"
"","https://doi.org/10.21105/joss.00432",2017,NA,"Andreas Holzinger","https://orcid.org/0000-0002-6786-5194","last","","https://github.com/mdbloice/Augmentor","Augmentor"
"","https://doi.org/10.21105/joss.00056",2017,NA,"Claudia Vitolo","https://orcid.org/0000-0002-4252-1176","first","","https://github.com/ropensci/hddtools/","hddtools"
"","https://doi.org/10.21105/joss.00638",2018,NA,"Sebastian Raschka","https://orcid.org/0000-0001-6989-4493","first","","https://github.com/rasbt/mlxtend","MLxtend"
"","https://doi.org/10.21105/joss.00051",2016,NA,"Claudia Vitolo","https://orcid.org/0000-0002-4252-1176","first","","https://github.com/kehraProject/r_rdefra","rdefra"
"","https://doi.org/10.21105/joss.00051",2016,NA,"Andrew Russell","https://orcid.org/0000-0001-7120-8499","middle","","https://github.com/kehraProject/r_rdefra","rdefra"
"","https://doi.org/10.21105/joss.00051",2016,NA,"Allan Tucker","https://orcid.org/0000-0001-5105-3506","last","","https://github.com/kehraProject/r_rdefra","rdefra"
"","https://doi.org/10.21105/joss.00607",2018,NA,"Sergio Ibarra","https://orcid.org/0000-0002-3162-1905","first","","https://github.com/atmoschem/eixport","eixport"
"","https://doi.org/10.21105/joss.00607",2018,NA,"Daniel Schuch",NA,"middle","","https://github.com/atmoschem/eixport","eixport"
"","https://doi.org/10.21105/joss.00607",2018,NA,"Edmílson Dias de Freitas","https://orcid.org/0000-0001-8783-2747","last","","https://github.com/atmoschem/eixport","eixport"
"","https://doi.org/10.21105/joss.00058",2016,NA,"Kyle Barbary","https://orcid.org/0000-0002-2532-3696","first","","https://github.com/kbarbary/sep","SEP"
"","https://doi.org/10.21105/joss.00093",2016,NA,"Julien Ponge","https://orcid.org/0000-0003-3452-9183","first","","https://github.com/eclipse/golo-lang","golo-lang"
"","https://doi.org/10.21105/joss.00093",2016,NA,"Yannick Loiseau","https://orcid.org/0000-0002-8140-1513","middle","","https://github.com/eclipse/golo-lang","golo-lang"
"","https://doi.org/10.21105/joss.00093",2016,NA,"Frédéric Le Mouël","https://orcid.org/0000-0002-7323-4057","middle","","https://github.com/eclipse/golo-lang","golo-lang"
"","https://doi.org/10.21105/joss.00093",2016,NA,"Nicolas Stouls","https://orcid.org/0000-0002-7406-9583","middle","","https://github.com/eclipse/golo-lang","golo-lang"
"","https://doi.org/10.21105/joss.00093",2016,NA,"Philippe Charrière",NA,"middle","","https://github.com/eclipse/golo-lang","golo-lang"
"","https://doi.org/10.21105/joss.00093",2016,NA,"Daniel Petisme",NA,"middle","","https://github.com/eclipse/golo-lang","golo-lang"
"","https://doi.org/10.21105/joss.00093",2016,NA,"Sylvain Desgrais",NA,"middle","","https://github.com/eclipse/golo-lang","golo-lang"
"","https://doi.org/10.21105/joss.00093",2016,NA,"Franck Verrot",NA,"last","","https://github.com/eclipse/golo-lang","golo-lang"
"","https://doi.org/10.21105/joss.00255",2017,NA,"John P. Didion","https://orcid.org/0000-0002-8111-6261","first","","https://github.com/jdidion/xphyle","xphyle"
"","https://doi.org/10.21105/joss.00060",2016,NA,"Jonathan A. Michaels","https://orcid.org/0000-0002-5179-3181","first","","https://github.com/JonathanAMichaels/hebbRNN","hebbRNN"
"","https://doi.org/10.21105/joss.00060",2016,NA,"Hansjörg Scherberger","https://orcid.org/0000-0001-6593-2800","last","","https://github.com/JonathanAMichaels/hebbRNN","hebbRNN"
"","https://doi.org/10.21105/joss.00320",2017,NA,"Simon J. van Heeringen","https://orcid.org/0000-0002-0411-3219","first","","http://github.com/simonvh/genomepy","genomepy"
"","https://doi.org/10.21105/joss.00571",2018,NA,"Steffi LaZerte","https://orcid.org/0000-0002-7690-8360","first","","https://github.com/ropensci/weathercan","weathercan"
"","https://doi.org/10.21105/joss.00571",2018,NA,"Sam Albers","https://orcid.org/0000-0002-9270-7884","last","","https://github.com/ropensci/weathercan","weathercan"
"","https://doi.org/10.21105/joss.00547",2018,NA,"Aleksey Bilogur",NA,"first","","https://github.com/ResidentMario/missingno","Missingno"
"","https://doi.org/10.21105/joss.00124",2017,NA,"Kivan Polimis","https://orcid.org/0000-0002-3498-0479","first","","https://github.com/scikit-learn-contrib/forest-confidence-interval","forest-confidence-interval"
"","https://doi.org/10.21105/joss.00124",2017,NA,"Ariel Rokem",NA,"middle","","https://github.com/scikit-learn-contrib/forest-confidence-interval","forest-confidence-interval"
"","https://doi.org/10.21105/joss.00124",2017,NA,"B. J. Hazelton","https://orcid.org/0000-0001-7532-645X","last","","https://github.com/scikit-learn-contrib/forest-confidence-interval","forest-confidence-interval"
"","https://doi.org/10.21105/joss.00719",2018,NA,"Shahriar Iravanian","https://orcid.org/0000-0003-2132-1543","first","","https://github.com/siravan/fib_tf","fib-tf"
"","https://doi.org/10.21105/joss.00170",2017,NA,"Bradley C. Boehmke",NA,"first","","https://github.com/bradleyboehmke/KraljicMatrix","KraljicMatrix"
"","https://doi.org/10.21105/joss.00170",2017,NA,"Robert T. Montgomery",NA,"middle","","https://github.com/bradleyboehmke/KraljicMatrix","KraljicMatrix"
"","https://doi.org/10.21105/joss.00170",2017,NA,"Jeffrey A. Ogden",NA,"middle","","https://github.com/bradleyboehmke/KraljicMatrix","KraljicMatrix"
"","https://doi.org/10.21105/joss.00170",2017,NA,"Jason K. Freels","https://orcid.org/0000-0002-2415-0340","last","","https://github.com/bradleyboehmke/KraljicMatrix","KraljicMatrix"
"","https://doi.org/10.21105/joss.00514",2018,NA,"Scott R. Spielman","https://orcid.org/0000-0002-9090-4788","first","","https://github.com/sjspielman/phyphy","phyphy"
"","https://doi.org/10.21105/joss.00721",2018,NA,"William D. Pearse","https://orcid.org/0000-0002-6241-3164","first","","https://github.com/ropensci/suppdata","Suppdata"
"","https://doi.org/10.21105/joss.00721",2018,NA,"Scott Chamberlain","https://orcid.org/0000-0003-1444-9135","last","","https://github.com/ropensci/suppdata","Suppdata"
"","https://doi.org/10.21105/joss.00513",2017,NA,"Sinan Shi","https://orcid.org/0000-0001-6935-0429","first","","https://github.com/ropensci/cleanEHR","cleanEHR"
"","https://doi.org/10.21105/joss.00513",2017,NA,"David Pérez–Suárez","https://orcid.org/0000-0002-5740-1863","middle","","https://github.com/ropensci/cleanEHR","cleanEHR"
"","https://doi.org/10.21105/joss.00513",2017,NA,"Steve Harris","https://orcid.org/0000-0002-4982-1374","middle","","https://github.com/ropensci/cleanEHR","cleanEHR"
"","https://doi.org/10.21105/joss.00513",2017,NA,"Niall MacCallum",NA,"middle","","https://github.com/ropensci/cleanEHR","cleanEHR"
"","https://doi.org/10.21105/joss.00513",2017,NA,"David Brealey","https://orcid.org/0000-0002-1982-3379","middle","","https://github.com/ropensci/cleanEHR","cleanEHR"
"","https://doi.org/10.21105/joss.00513",2017,NA,"Mervyn Singer","https://orcid.org/0000-0002-1042-6350","middle","","https://github.com/ropensci/cleanEHR","cleanEHR"
"","https://doi.org/10.21105/joss.00513",2017,NA,"James Hetherington","https://orcid.org/0000-0001-6993-0319","last","","https://github.com/ropensci/cleanEHR","cleanEHR"
"","https://doi.org/10.21105/joss.00177",2017,"https://ror.org/04sjbnx57","Adam H. Sparks","https://orcid.org/0000-0002-0061-8359","first","[University of Southern Queensland]","https://github.com/ropensci/GSODR","GSODR"
"","https://doi.org/10.21105/joss.00177",2017,"https://ror.org/01z8yfp14","Tomislav Hengl","https://orcid.org/0000-0002-9921-5129","middle","ISRIC — World Soil Information","https://github.com/ropensci/GSODR","GSODR"
"","https://doi.org/10.21105/joss.00177",2017,NA,"Andrew Nelson","https://orcid.org/0000-0002-7249-3778","last","Department of Natural Resources","https://github.com/ropensci/GSODR","GSODR"
"","https://doi.org/10.21105/joss.00141",2016,NA,"Jeff Goldsmith","https://orcid.org/0000-0002-6150-8997","first","","https://github.com/jeff-goldsmith/vbvs.concurrent","vbvs.concurrent"
"","https://doi.org/10.21105/joss.00373",2017,NA,"Shane Latham","https://orcid.org/0000-0001-8033-4665","first","","https://github.com/array-split/array_split","array_split"
"","https://doi.org/10.21105/joss.00179",2017,NA,"Julia E. Niskanen","https://orcid.org/0000-0002-2871-6890","first","Hannes Tapani Lohi / Ansvarig forskare","https://github.com/JNisk/AncesTrim","AncesTrim"
"","https://doi.org/10.21105/joss.00179",2017,NA,"Elina Salmela","https://orcid.org/0000-0003-1326-4462","middle","Biovetenskaper","https://github.com/JNisk/AncesTrim","AncesTrim"
"","https://doi.org/10.21105/joss.00179",2017,NA,"Hannes Lohi","https://orcid.org/0000-0003-1087-5532","last","Medicum","https://github.com/JNisk/AncesTrim","AncesTrim"
"","https://doi.org/10.21105/joss.00380",2017,NA,"Pradeep Reddy Raamana","https://orcid.org/0000-0003-4662-0558","first","","https://github.com/raamana/hiwenet","hiwenet"
"","https://doi.org/10.21105/joss.00380",2017,NA,"Stephen C. Strother","https://orcid.org/0000-0002-3198-217X","last","","https://github.com/raamana/hiwenet","hiwenet"
"","https://doi.org/10.21105/joss.00374",2017,NA,"Jakob Bossek","https://orcid.org/0000-0002-4121-4668","first","","https://github.com/jakobbossek/mcMST","mcMST"
"","https://doi.org/10.21105/joss.00146",2017,NA,"Nicolas Carpi",NA,"first","","https://github.com/elabftw/elabftw","eLabFTW"
"","https://doi.org/10.21105/joss.00146",2017,NA,"Alexander Minges","https://orcid.org/0000-0001-7760-2753","middle","","https://github.com/elabftw/elabftw","eLabFTW"
"","https://doi.org/10.21105/joss.00146",2017,NA,"Matthieu Piel","https://orcid.org/0000-0002-2848-177X","last","","https://github.com/elabftw/elabftw","eLabFTW"
"","https://doi.org/10.21105/joss.00125",2016,NA,"Brian McFee",NA,"first","","https://github.com/bmcfee/resampy","resampy"
"","https://doi.org/10.21105/joss.00541",2018,NA,"Sébastien Boisgérault",NA,"first","","https://github.com/boisgera/bitstream","bitstream"
"","https://doi.org/10.21105/joss.00773",2018,NA,"Adam J. Jackson","https://orcid.org/0000-0001-5272-6530","first","","https://github.com/SMTG-UCL/galore","Galore"
"","https://doi.org/10.21105/joss.00773",2018,NA,"Alex M. Ganose","https://orcid.org/0000-0002-4486-3321","middle","","https://github.com/SMTG-UCL/galore","Galore"
"","https://doi.org/10.21105/joss.00773",2018,NA,"Anna Regoutz","https://orcid.org/0000-0002-3747-3763","middle","","https://github.com/SMTG-UCL/galore","Galore"
"","https://doi.org/10.21105/joss.00773",2018,NA,"R.G. Egdell",NA,"middle","","https://github.com/SMTG-UCL/galore","Galore"
"","https://doi.org/10.21105/joss.00773",2018,NA,"David O. Scanlon","https://orcid.org/0000-0001-9174-8601","last","","https://github.com/SMTG-UCL/galore","Galore"
"","https://doi.org/10.21105/joss.00584",2018,NA,"John Mount",NA,"first","","https://github.com/WinVector/vtreat/","The vtreat R package"
"","https://doi.org/10.21105/joss.00584",2018,NA,"Nina Zumel",NA,"last","","https://github.com/WinVector/vtreat/","The vtreat R package"
"","https://doi.org/10.21105/joss.00577",2018,NA,"Peter Laurinec","https://orcid.org/0000-0002-3501-8783","first","","https://github.com/PetoLau/TSrepr","TSrepr R package"
"","https://doi.org/10.21105/joss.00745",2018,NA,"Richard L. Izzo",NA,"first","","https://github.com/vmtk/vmtk","The Vascular Modeling Toolkit"
"","https://doi.org/10.21105/joss.00745",2018,NA,"David A. Steinman","https://orcid.org/0000-0002-7963-1168","middle","","https://github.com/vmtk/vmtk","The Vascular Modeling Toolkit"
"","https://doi.org/10.21105/joss.00745",2018,NA,"Simone Manini",NA,"middle","","https://github.com/vmtk/vmtk","The Vascular Modeling Toolkit"
"","https://doi.org/10.21105/joss.00745",2018,NA,"Luca Antiga",NA,"last","","https://github.com/vmtk/vmtk","The Vascular Modeling Toolkit"
"","https://doi.org/10.21105/joss.00548",2018,NA,"Robert D. Reinecke","https://orcid.org/0000-0001-5699-8584","first","","https://github.com/rreinecke/global-gradient-based-groundwater-model","global-gradient-based-groundwater-model"
"","https://doi.org/10.21105/joss.00523",2018,NA,"Taha Zaghdoudi","https://orcid.org/0000-0002-4488-5774","first","","https://github.com/zedtaha/ivprobit-1.0","ivporbit"
"","https://doi.org/10.21105/joss.00729",2018,NA,"Sepand Haghighi",NA,"first","","https://github.com/sepandhaghighi/pycm","PyCM"
"","https://doi.org/10.21105/joss.00729",2018,NA,"Masoomeh Jasemi",NA,"middle","","https://github.com/sepandhaghighi/pycm","PyCM"
"","https://doi.org/10.21105/joss.00729",2018,NA,"Shaahin Hessabi","https://orcid.org/0000-0003-3193-2567","middle","","https://github.com/sepandhaghighi/pycm","PyCM"
"","https://doi.org/10.21105/joss.00729",2018,NA,"Alireza Zolanvari","https://orcid.org/0000-0003-2367-8343","last","","https://github.com/sepandhaghighi/pycm","PyCM"
"","https://doi.org/10.21105/joss.00372",2017,NA,"S. Binet",NA,"first","","https://github.com/go-hep/hep","Go-HEP"
"","https://doi.org/10.21105/joss.00372",2017,NA,"Bastian Wieck","https://orcid.org/0000-0001-6658-6807","middle","","https://github.com/go-hep/hep","Go-HEP"
"","https://doi.org/10.21105/joss.00372",2017,NA,"David Blyth",NA,"middle","","https://github.com/go-hep/hep","Go-HEP"
