mention_id,mention,count,most_popular_doi,most_popular_doi_count,most_popular_pmid,most_popular_pmid_count,github_repo
SM4516,SCUEAL,4,10.1371/journal.pcbi.1000581,4,19956739.0,4,https://github.com/spond/SCUEAL
SM681,BEAST,270,10.1186/1471-2148-7-214,103,17996036.0,118,https://github.com/boostorg/beast
SM4661,DUET,26,10.1093/nar/gku411,18,24829462.0,19,https://github.com/Duet3D/DuetWebControl
SM750,PhyML,670,10.1080/10635150390235520,228,14530136.0,260,https://github.com/eun0130/PhyML
SM1408,RAxML,734,10.1093/bioinformatics/btu033,289,24451623.0,316,https://github.com/LennonLab/RAxML
SM1707,MrBayes,459,10.1093/bioinformatics/17.8.754,160,11524383.0,170,https://github.com/NBISweden/MrBayes
SM4740,TANGO,31,10.1038/nbt1012,14,15361882.0,19,https://github.com/lunny/tango
SM3584,ATLAS.ti,18,10.1016/j.socscimed.2005.02.004,1,12836626.0,2,https://github.com/jmunoz298/atlasti
SM3599,ACASI,6,10.1007/s10461-006-9081-y,2,16721506.0,2,https://github.com/Ovilia/acasia-poster
SM2170,UCSF Chimera,450,10.1002/jcc.20084,316,15264254.0,372,https://github.com/RBVI/ChimeraX
SM4867,DichroWeb,14,10.1093/nar/gkh371,5,17896349.0,3,https://github.com/jrjhealey/PDB2CDextrapolator
SM537,PSIPRED,258,10.1006/jmbi.1999.3091,103,10493868.0,115,https://github.com/psipred/psipred
SM2612,Bio3D,23,10.1093/bioinformatics/btl461,12,16940322.0,15,https://github.com/jgreener64/Bio3DView.jl
SM4884,DAMMIN,23,10.1016/S0006-3495(99)77443-6,14,10354416.0,20,https://github.com/damminhtien/damminhtien.github.io
SM3466,CRYSOL,46,10.1107/S0021889895007047,33,28808438.0,5,https://github.com/AlejandroFerro/CRySoL.github.io
SM1668,KOBAS,124,10.1093/bioinformatics/bti430,57,15817693.0,64,https://github.com/xmao/kobas
SM4910,RNAstructure,58,10.1186/1471-2105-11-129,30,20230624.0,24,https://github.com/michael-sloma/RNAstructurepy
SM4893,Mfold,203,10.1093/nar/gkg595,124,12824337.0,135,https://github.com/levipierce/mfold
SM873,CLUSTALW,410,10.1093/nar/22.22.4673,175,7984417.0,238,https://github.com/coldfunction/CUDA-clustalW
SM4917,FastME,32,10.1089/106652702761034136,13,12487758.0,12,https://github.com/RuneBlaze/FastME
SM4922,PAML,427,10.1093/molbev/msm088,191,17483113.0,221,https://github.com/HLTCHKUST/PAML
SM4924,PAML package,100,10.1093/molbev/msm088,36,17483113.0,41,https://github.com/abacus-gene/paml
SM4925,DAMBE,106,10.1093/jhered/92.4.371,40,11535656.0,54,https://github.com/dambert/DambertIntercorp
SM4936,RNA22,72,10.1016/j.cell.2006.07.031,38,16990141.0,53,https://github.com/Rna2212/Rna2212
SM553,BLASTN,376,10.1093/nar/25.17.3389,78,2231712.0,157,https://github.com/movingpictures83/BLASTN
SM853,QIIME,435,10.1038/nmeth.f.303,271,20383131.0,312,https://github.com/qiime2/qiime2
SM1415,SPAdes,311,10.1089/cmb.2012.0021,215,22506599.0,242,https://github.com/NVlabs/SPADE
SM2814,MAUVE,97,10.1101/gr.2289704,50,15231754.0,57,https://github.com/krishnap25/mauve
SM5077,Roary,39,10.1093/bioinformatics/btv421,27,26198102.0,31,https://github.com/sanger-pathogens/Roary
SM711,BRIG,46,10.1186/1471-2164-12-402,43,21824423.0,41,https://github.com/sahib/brig
SM699,ProSA,72,10.1093/nar/gkm290,46,17517781.0,49,https://github.com/jgomezdans/prosail
SM1412,MEGA X,727,10.1093/molbev/msy096,548,29722887.0,607,https://github.com/MCUdude/MegaCoreX
SM5090,BLAST Ring Image Generator (BRIG),32,10.1186/1471-2164-12-402,20,21824423.0,21,https://github.com/pedrorvc/BRIGaid
SM5127,Circlator,17,10.1186/s13059-015-0849-0,10,26714481.0,13,https://github.com/movingpictures83/Circlator
SM5135,Calypso,18,10.1093/bioinformatics/btw725,8,28025202.0,14,https://github.com/pharo-ide/Calypso
SM5133,USEARCH,217,10.1093/bioinformatics/btq461,136,20709691.0,153,https://github.com/YongxinLiu/UsearchChineseManual
SM5155,CD-HIT-EST,94,10.1093/bioinformatics/btl158,42,16731699.0,49,
SM5173,ISOMAP,23,10.1126/science.290.5500.2319,14,11125149.0,17,https://github.com/Amoozegar/ISOMAP
SM5250,MetaCore,18,10.1007/s001090050155,1,16988414.0,4,https://github.com/transmart/transmart-metacore-plugin
SM3728,GeoDa,14,10.1111/j.0016-7363.2005.00671.x,10,16997358.0,1,https://github.com/GeoDaCenter/geoda
SM8195,MaZda,5,10.1016/j.cmpb.2008.08.005,2,18922598.0,2,https://github.com/flyandi/mazda-custom-application-sdk
SM7852,Biopython,113,10.1093/bioinformatics/btp163,68,19304878.0,82,https://github.com/biopython/biopython
SM8366,Parsnp,20,10.1186/s13059-014-0524-x,16,25410596.0,17,https://github.com/marbl/parsnp
SM3639,ggtree,45,10.1111/2041-210X.12628,30,30351396.0,4,https://github.com/YuLab-SMU/ggtree
SM1042,Clustal Omega,574,10.1038/msb.2011.75,295,21988835.0,322,https://github.com/benchling/clustalo-python
SM1034,Chimera,424,10.1002/jcc.20084,311,15264254.0,334,https://github.com/tokyoneon/Chimera
SM6828,Jalview,364,10.1093/bioinformatics/btp033,206,19151095.0,233,https://github.com/jalview/jalview-js
SM8416,MatchMaker,4,10.1186/1471-2105-7-339,3,16836757.0,2,https://github.com/lypeer/Matchmaker
SM993,Dendroscope,128,10.1186/1471-2105-8-460,72,18034891.0,65,https://github.com/husonlab/dendroscope3
SM642,Prokka,240,10.1093/bioinformatics/btu153,172,24642063.0,192,https://github.com/movingpictures83/Prokka
SM8346,PhyloPhlAn,32,10.1038/ncomms3304,18,23942190.0,21,https://github.com/kumar2501/PhyloPhlAn
SM652,RAST,250,10.1186/1471-2164-9-75,145,18261238.0,133,https://github.com/cburgmer/rasterizeHTML.js
SM7217,PHASTER,124,10.1093/nar/gkw387,91,27141966.0,99,https://github.com/boulund/phaster_scripts
SM857,FastTree,384,10.1371/journal.pone.0009490,175,20224823.0,188,https://github.com/PavelTorgashov/FastTree
SM1216,iTOL,387,10.1093/nar/gkw290,124,27095192.0,131,https://github.com/iBiology/iTOL
SM651,Quast,40,10.1093/bioinformatics/btt086,29,23422339.0,31,https://github.com/lolzyman/Quast
SM5912,DESeq2,1370,10.1186/s13059-014-0550-8,922,25516281.0,998,https://github.com/mikelove/DESeq2
SM6532,edgeR,1003,10.1093/bioinformatics/btp616,655,19910308.0,723,https://github.com/RedisGears/EdgeRealtimeVideoAnalytics
SM8444,EBSeq,56,10.1093/bioinformatics/btt087,45,23428641.0,49,https://github.com/lengning/EBSeq
SM644,PATRIC,74,10.1093/nar/gkw1017,27,27899627.0,28,https://github.com/Tencent/PatrickStar
SM8427,Miniasm,26,10.1093/bioinformatics/btw152,22,27153593.0,23,https://github.com/lh3/miniasm
SM6257,Swiss-Model,51,10.1093/nar/gku340,8,29788355.0,9,https://github.com/norman/friendly_id
SM8526,Interactive Tree of Life (iTOL),22,10.1093/nar/gkz239,11,30931475.0,11,https://github.com/albertyw/itolapi
SM8532,SourceTracker,33,10.1038/nmeth.1650,29,21765408.0,28,https://github.com/mfduar8766/SourceTracker
SM6260,Prodigal,567,10.1186/1471-2105-11-119,407,20211023.0,366,https://github.com/hyattpd/Prodigal
SM665,bowtie2,311,10.1038/nmeth.1923,212,22388286.0,236,https://github.com/BenLangmead/bowtie2
SM782,BWA,1029,10.1093/bioinformatics/btp324,644,19451168.0,713,https://github.com/lh3/bwa
SM6316,Rockhopper,9,10.1093/nar/gkt444,7,23716638.0,6,https://github.com/MachineryScience/Rockhopper
SM638,blastp,111,10.1093/nar/25.17.3389,26,2231712.0,40,https://github.com/michal-stuglik/django-blastplus
SM6987,JSpeciesWS,24,10.1093/bioinformatics/btv681,17,26576653.0,19,
SM8695,EMAN2,42,10.1016/j.jsb.2006.05.009,16,16859925.0,36,https://github.com/leschzinerlab/EMAN2
SM527,PROVEAN,158,10.1371/journal.pone.0046688,88,23056405.0,87,https://github.com/stekaz/PROVEAN
SM2089,Avogadro,53,10.1186/1758-2946-4-17,43,22889332.0,26,https://github.com/muwenyang001/Avogadro
SM1070,UCSC Genome Browser,539,10.1101/gr.229102,63,12045153.0,144,https://github.com/ucscGenomeBrowser/kent
SM2743,REFMAC5,156,10.1107/S0907444911001314,44,15299926.0,53,https://github.com/harijay/auriga
SM1061,Coot,384,10.1107/S0907444910007493,162,20383002.0,169,https://github.com/yehux/Coot
SM11236,Molprobity,60,10.1107/S0907444909042073,25,20057044.0,32,https://github.com/rlabduke/MolProbity
SM6437,CD-HIT,283,10.1093/bioinformatics/btl158,105,16731699.0,113,https://github.com/BeRuth/CD-HIT
SM14363,OrthoFinder,99,10.1186/s13059-015-0721-2,49,26243257.0,57,https://github.com/davidemms/OrthoFinder
SM1148,MAFFT,1162,10.1093/molbev/mst010,347,23329690.0,385,https://github.com/GSLBiotech/mafft
SM2741,T-coffee,59,10.1006/jmbi.2000.4042,30,10964570.0,32,https://github.com/jashkenas/coffee-script-tmbundle
SM6008,mafft,56,10.1093/nar/gkf436,12,23329690.0,18,https://github.com/GSLBiotech/mafft
SM10656,MUSTANG,30,10.1002/prot.20921,15,16736488.0,15,https://github.com/ZUGFeRD/mustangproject
SM615,PyMol,126,10.1021/bi00455a021,3,15708536.0,3,https://github.com/Pymol-Scripts/Pymol-script-repo
SM1217,WebLogo,409,10.1101/gr.849004,294,15173120.0,330,https://github.com/lastlegion/WebLogo
SM14445,NeurphologyJ,4,10.1186/1471-2105-12-230,2,22743772.0,1,
SM900,XDS,239,10.1107/S0907444909047337,155,20124692.0,162,https://github.com/ichfly/XDS
SM947,COOT,390,10.1107/S0907444904019158,119,15572765.0,175,https://github.com/PythonOT/COOT
SM14543,RosettaDock,21,10.1016/S0022-2836(03)00670-3,9,12875852.0,10,
SM2751,AMBER,103,10.1002/jcc.20290,17,16200636.0,22,https://github.com/CAMI-challenge/AMBER
SM587,GROMACS,168,10.1016/j.softx.2015.06.001,29,16211538.0,26,https://github.com/aar2163/GROMACS
SM1213,Phyre2,213,10.1038/nprot.2015.053,133,25950237.0,143,https://github.com/danmaclean/phyreresults
SM1811,FlexX,68,10.1006/jmbi.1996.0477,35,8780787.0,43,https://github.com/flexxui/flexx
SM700,GOLD,128,10.1006/jmbi.1996.0897,42,9126849.0,45,https://github.com/xitu/gold-miner
SM14615,Swiss Model,24,10.1093/nar/gku340,5,16301204.0,4,https://github.com/norman/friendly_id
SM14618,Percepta,1,,0,,0,https://github.com/aikidos/Perceptash
SM14767,Brain Extraction Tool (BET),18,10.1002/hbm.10062,15,12391568.0,17,https://github.com/ricortiz/BET
SM14770,Freesurfer,33,10.1006/nimg.1998.0395,4,9931268.0,5,https://github.com/EbnerLab/Freesurfer
SM14815,HAMLET,3,10.4103/2152-7806.86227,1,22059143.0,1,https://github.com/LUMC/HAMLET
SM165,SPSS,164,10.1016/j.brat.2016.11.001,5,18697684.0,9,https://github.com/laribio/SPSS
SM353,RStudio,93,10.1002/jae.1278,2,24062527.0,2,https://github.com/rstudio/rstudio
SM14148,Elements,2,10.1371/journal.pone.0073021,1,24019889.0,1,https://github.com/hypar-io/Elements
SM14995,MAS,64,10.1093/ptj/67.2.206,3,3809245.0,6,https://github.com/mas-cli/mas
SM14721,SurveyMonkey,41,10.1016/S1096-7516(02)00061-1,1,12558716.0,1,https://github.com/yolch-yolchyan/SurveyMonkey
SM15043,Rsamtools,10,10.1212/WNL.0b013e3182605801,1,22722634.0,1,https://github.com/Bioconductor/Rsamtools
SM3498,samtools,331,10.1093/bioinformatics/btp352,226,19505943.0,259,https://github.com/samtools/samtools
SM6739,BEDTools,345,10.1093/bioinformatics/btq033,236,20110278.0,267,https://github.com/arq5x/bedtools2
SM7113,Normfinder,100,10.1158/0008-5472.CAN-04-0496,83,15289330.0,86,https://github.com/wckdouglas/pyNormFinder
SM15092,PEAR,66,10.1093/bioinformatics/btt593,44,24142950.0,53,https://github.com/tseemann/PEAR
SM551,BLASTn,311,10.1016/S0022-2836(05)80360-2,101,2231712.0,146,https://github.com/AfnanElhussini/BLASTn
SM1262,Velvet,498,10.1101/gr.074492.107,390,18349386.0,428,https://github.com/bitswift/Velvet
SM668,QUAST,154,10.1093/bioinformatics/btt086,125,23422339.0,134,https://github.com/ablab/quast
SM15097,Samtools,360,10.1093/bioinformatics/btp352,261,19505943.0,282,https://github.com/samtools/samtools
SM15098,VarScan2,115,10.1101/gr.129684.111,80,22300766.0,103,https://github.com/MichaelTong/VarScan2
SM806,SnpEff,206,10.4161/fly.19695,151,22728672.0,162,https://github.com/pcingola/SnpEff
SM15099,VarSome,25,10.1093/bioinformatics/bty897,22,30376034.0,20,https://github.com/saphetor/varsome-api-client-python
SM14453,PLINK,892,10.1086/519795,624,17701901.0,703,https://github.com/hairless/plink
SM6086,Annovar,137,10.1093/nar/gkq603,95,20601685.0,110,https://github.com/Rbbt-Workflows/Annovar
SM25,ImageJ,1154,10.1038/nmeth.2089,422,22930834.0,477,https://github.com/imagej/imagej2
SM2786,MotionCor2,13,10.1038/nmeth.4193,10,28250466.0,11,https://github.com/singleparticle/MotionCor2
SM11036,Gctf,6,10.1016/j.jsb.2015.11.003,3,26592709.0,4,https://github.com/ProteinGod/Gctf
SM2799,PHENIX,191,10.1107/S0907444909052925,87,20124702.0,104,https://github.com/jpfleury/clearlooks-phenix
SM15186,LIMMA,76,10.1093/nar/gkv007,15,16646809.0,21,https://github.com/jmzeng1314/GEO
SM15216,Reconstruct,10,10.1111/j.1365-2818.2005.01466.x,5,15817063.0,6,https://github.com/LXGaming/Reconstruct
SM15231,fastq-mcf,17,10.2174/1875036201307010001,4,16041803.0,1,https://github.com/Gonzalo-Villarino/RNAseq_PaiedEndFastq-mcf
SM664,Trimmomatic,921,10.1093/bioinformatics/btu170,669,24695404.0,755,https://github.com/usadellab/Trimmomatic
SM1268,Tophat2,146,10.1186/gb-2013-14-4-r36,96,23618408.0,95,https://github.com/petadimensionlab/Tophat2
SM5189,NetworkAnalyst,70,10.1038/nprot.2015.052,26,25950236.0,28,https://github.com/xia-lab/NetworkAnalystR
SM15273,InnateDB,27,10.1093/nar/gks1147,12,23180781.0,14,https://github.com/silviafrias/InnateDB-test-datasets
SM4932,Human Splicing Finder,58,10.1093/nar/gkp215,37,19339519.0,43,
SM15284,MaxEntScan,47,10.1089/1066527041410418,31,15285897.0,32,https://github.com/matthdsm/MaxEntScan
SM15285,NNSplice,22,10.1089/cmb.1997.4.311,9,9278062.0,16,
SM1100,R package,484,10.1186/1471-2105-9-559,11,19114008.0,9,https://github.com/r-lib/httr
SM15341,UCSC table browser,43,10.1093/nar/gkh103,13,14681465.0,13,https://github.com/GeoffSCollins/UCSC-Table-Browser-Scraper
SM15367,GCTA,152,10.1016/j.ajhg.2010.11.011,108,21167468.0,121,https://github.com/k26stan/GCTA
SM637,DAVID,1141,10.1038/nprot.2008.211,411,19131956.0,535,https://github.com/alanshaw/david
SM15418,Connectivity Map,30,10.1126/science.1132939,17,17008526.0,22,https://github.com/cmap/cmapM
SM781,Aligner,124,10.1093/bioinformatics/btp324,67,19451168.0,79,https://github.com/alexdobin/STAR
SM804,GATK,555,10.1101/gr.107524.110,289,20644199.0,340,https://github.com/broadinstitute/gatk
SM796,VEP,64,10.1093/bioinformatics/btq330,23,20562413.0,25,https://github.com/Ensembl/ensembl-vep
SM14629,Aligner (BWA),166,10.1093/bioinformatics/btp324,103,19451168.0,118,https://github.com/citiususc/SparkBWA
SM15436,PennCNV,108,10.1101/gr.6861907,73,17921354.0,80,https://github.com/WGLab/PennCNV
SM6649,topGO,49,10.1093/bioinformatics/btl140,24,16606683.0,25,https://github.com/llrs/topGO
SM2831,REFMAC,107,10.1107/S0907444996012255,39,15299926.0,54,https://github.com/refmac/refmac.github.io
SM10221,MOLPROBITY,58,10.1107/S0907444909042073,21,20057044.0,27,https://github.com/rlabduke/MolProbity
SM10279,RELION,26,10.1016/j.jsb.2012.09.006,12,23000701.0,12,https://github.com/3dem/relion
SM908,Phaser,143,10.1107/S0021889807021206,75,19461840.0,85,https://github.com/photonstorm/phaser
SM2806,Phenix,122,10.1107/S0907444909052925,63,20124702.0,70,https://github.com/Fredi/Phenix
SM15514,HiC-Pro,33,10.1186/s13059-015-0831-x,22,26619908.0,29,https://github.com/nservant/HiC-Pro
SM15536,MuTect,127,10.1038/nbt.2514,95,23396013.0,106,https://github.com/broadinstitute/mutect
SM15553,find_circ,53,10.1038/nature11928,46,23446348.0,49,https://github.com/marvin-jens/find_circ
SM15554,CIRCexplorer,30,10.1016/j.cell.2014.09.001,16,25242744.0,17,https://github.com/YangLab/CIRCexplorer
SM2995,MolProbity,213,10.1107/S0907444909042073,100,20057044.0,117,https://github.com/rlabduke/MolProbity
SM15594,R package edgeR,92,10.1093/bioinformatics/btp616,59,19910308.0,70,https://github.com/schochastics/edgebundle
SM8045,R package limma,85,10.1093/nar/gkv007,53,25605792.0,56,https://github.com/jdreyf/ezlimma
SM15019,PolyPhen-2,296,10.1038/nmeth0410-248,183,20354512.0,199,https://github.com/breezedu/PolyPhen2
SM8017,clusterProfiler,167,10.1089/omi.2011.0118,122,22455463.0,102,https://github.com/YuLab-SMU/clusterProfiler
SM15689,MAGMA,54,10.1371/journal.pcbi.1004219,35,25885710.0,41,https://github.com/CEED/MAGMA
SM15706,METAL,105,10.1093/bioinformatics/btq340,72,20616382.0,76,https://github.com/mrgloom/awesome-semantic-segmentation
SM2439,REVIGO,231,10.1371/journal.pone.0021800,167,21789182.0,191,https://github.com/hbc/revigoR
SM8048,R package WGCNA,66,10.1186/1471-2105-9-559,47,19114008.0,41,https://github.com/cran/WGCNA
SM5085,HADDOCK,88,10.1021/ja026939x,24,12580598.0,33,https://github.com/haskell/haddock
SM2536,FIJI,123,10.1038/nmeth.2019,67,22743772.0,88,https://github.com/fiji/fiji
SM15745,bioconductor,17,10.1186/gb-2004-5-10-r80,9,15461798.0,10,https://github.com/mikelove/bioc-refcard
SM633,Integrative Genomics Viewer,167,10.1038/nbt.1754,102,21221095.0,107,https://github.com/igvteam/igv.js
SM15754,Bedtools,105,10.1093/bioinformatics/btq033,79,20110278.0,83,https://github.com/arq5x/bedtools2
SM15756,Homologene,29,10.1093/nar/gkl1031,4,17170002.0,4,https://github.com/oganm/homologene
SM1014,Circos,352,10.1101/gr.092759.109,262,19541911.0,285,https://github.com/ericmjl/Circos
SM7473,STAR,629,10.1093/bioinformatics/bts635,402,23104886.0,479,https://github.com/alexdobin/STAR
SM624,Cufflinks,754,10.1038/nbt.1621,327,20436464.0,359,https://github.com/aveillady/Cufflinks
SM15784,Genesis,61,10.1093/bioinformatics/18.1.207,50,11836235.0,57,https://github.com/withstars/Genesis
SM5249,Metascape,178,10.1038/s41467-019-09234-6,126,30944313.0,122,https://github.com/Cyb3r-N1nja/Metascape
SM15808,Haplotype Caller,6,10.1101/201178,2,21478889.0,2,https://github.com/IARCbioinfo/gatk4-HaplotypeCaller-nf
SM15732,FusionCatcher,14,10.1101/011650,3,31337872.0,1,https://github.com/andream91/FusionCatcher
SM15864,ChAMP,36,10.1093/bioinformatics/btt684,17,24336642.0,23,https://github.com/YuanTian1991/ChAMP
SM15573,ConsensusClusterPlus,10,10.1093/bioinformatics/btq170,8,20427518.0,9,https://github.com/renzhonglu/ConsensusClusterPlus
SM1013,HaplotypeCaller,31,10.1101/gr.107524.110,9,20644199.0,15,https://github.com/helloabunai/HaplotypeCaller
SM636,"Database for Annotation, Visualization and Integrated Discovery (DAVID)",214,10.1038/nprot.2008.211,85,19131956.0,101,
SM15903,SamTools,20,10.1093/bioinformatics/btp352,13,19505943.0,17,https://github.com/ingolia/SamTools
SM14516,Integrative Genomics Viewer (IGV),218,10.1038/nbt.1754,93,21221095.0,101,https://github.com/paul-shannon/igvR
SM437,image J,5,10.1038/nmeth.2089,2,22930834.0,2,https://github.com/blueimp/JavaScript-Load-Image
SM15929,VDJtools,10,10.1371/journal.pcbi.1004503,8,26606115.0,8,https://github.com/mikessh/vdjtools
SM15935,VEGAS,14,10.1016/j.ajhg.2010.06.009,9,20598278.0,10,https://github.com/jaysalvat/vegas
SM3082,Enrichr,250,10.1093/nar/gkw377,82,27141961.0,99,https://github.com/yokuyuki/Enrichr
SM15946,htseq-count,67,10.1093/bioinformatics/btu638,41,25260700.0,55,https://github.com/dmccloskey/htseq-count
SM15947,GenomicFeatures,14,10.1371/journal.pcbi.1003118,9,23950696.0,11,https://github.com/Bioconductor/GenomicFeatures
SM15948,g:profiler,17,10.1093/nar/gkw199,7,27098042.0,7,https://github.com/felixge/fgprof
SM15951,TIDE,14,10.1093/nar/gku936,8,25300484.0,10,https://github.com/http-rs/tide
SM1234,DECIPHER,43,10.1016/j.ajhg.2009.03.010,10,19344873.0,15,https://github.com/nalzok/wechat-decipher-macos
SM7998,Mutation Taster,90,10.1038/nmeth.2890,41,24681721.0,44,
SM15858,bwa,106,10.1093/bioinformatics/btp324,75,19451168.0,75,https://github.com/lh3/bwa
SM10373,YASARA,106,10.1093/bioinformatics/btu426,29,24996895.0,25,https://github.com/yasaragunasekara77/yasaragunasekara77
SM2444,STAR aligner,116,10.1093/bioinformatics/bts635,80,23104886.0,87,https://github.com/alexdobin/STAR
SM4904,RSEM,567,10.1186/1471-2105-12-323,405,21816040.0,339,https://github.com/deweylab/RSEM
SM15985,ESTIMATE,74,10.1038/ncomms3612,45,24113773.0,55,https://github.com/getguesstimate/guesstimate-app
SM15102,minfi,78,10.1093/bioinformatics/btu049,61,24478339.0,64,https://github.com/hansenlab/minfi
SM16030,gProfiler,28,10.1093/nar/gkw199,6,27098042.0,8,https://github.com/ighosh98/gProfiler
SM16031,network analysis (WGCNA),30,10.1186/1471-2105-9-559,14,19114008.0,8,https://github.com/cran/WGCNA
SM1174,PANTHER,290,10.1101/gr.772403,31,12952881.0,36,https://github.com/symfony/panther
SM16034,GeneMatcher,28,10.1002/humu.22844,25,26220891.0,24,https://github.com/DBRetina/geneMatcher
SM15393,ComBat,205,10.1093/biostatistics/kxj037,139,16632515.0,161,https://github.com/CombatExtendedRWMod/CombatExtended
SM16092,Otsu,6,10.1109/TSMC.1979.4310076,4,,0,https://github.com/Ashvirus/Otsu
SM5279,WebGestalt,184,10.1093/nar/gki475,43,15980575.0,53,https://github.com/bzhanglab/WebGestaltR
SM15499,QuPath,40,10.1038/s41598-017-17204-5,34,29203879.0,29,https://github.com/qupath/qupath
SM16102,R-project,11,10.1093/bioinformatics/btu049,2,24478339.0,2,https://github.com/ehrscape/R-project
SM16103,ShinyGO,19,10.1093/bioinformatics/btz931,18,31882993.0,15,https://github.com/moj-analytical-services/shinyGovstyle
SM778,SAMtools,1038,10.1093/bioinformatics/btp352,740,19505943.0,809,https://github.com/samtools/samtools
SM16132,GISTIC2,13,10.1186/gb-2011-12-4-r41,10,21527027.0,9,https://github.com/ShixiangWang/install_GISTIC
SM16179,MutSigCV,63,10.1038/nature12213,44,23770567.0,55,https://github.com/genepattern/MutSigCV
SM15997,ABSOLUTE,66,10.1038/nbt.2203,48,22544022.0,58,https://github.com/Windows-Readiness/AbsoluteBeginnersWin10
SM2446,DESeq,476,10.1186/gb-2010-11-10-r106,301,20979621.0,317,https://github.com/snakemake-workflows/rna-seq-star-deseq2
SM16205,RepeatHMM,4,10.1186/s13073-017-0456-7,2,28720120.0,2,https://github.com/WGLab/RepeatHMM
SM34,ITK-SNAP,70,10.1016/j.neuroimage.2006.01.015,45,16545965.0,53,https://github.com/vfonov/ITK-SNAP
SM2882,CellProfiler,138,10.1186/gb-2006-7-10-r100,66,17076895.0,64,https://github.com/CellProfiler/CellProfiler
SM16228,CIBERSORT,168,10.1038/nmeth.3337,122,25822800.0,113,https://github.com/zomithex/CIBERSORT
SM15021,MutationTaster,225,10.1038/nmeth0810-575,92,20676075.0,99,
SM1305,SIFT,729,10.1038/nprot.2009.86,198,19561590.0,247,https://github.com/paulaner/SIFT
SM1601,Chromas,3,10.1038/labinvest.2009.132,1,20010852.0,1,https://github.com/ibdknox/ChromaShift
SM7474,HTSeq-count,72,10.1093/bioinformatics/btu638,48,25260700.0,54,https://github.com/bowhan/HTSeq-count
SM5913,Reactome,319,10.1093/nar/gkx1132,31,15608231.0,38,https://github.com/YuLab-SMU/ReactomePA
